ticker,name,gics_sector,gics_sub_industry,hq,eodhd_ticker
JBLU,JetBlue,Industrials,Passenger Airlines,"Long Island City, New York",JBLU.US
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,"Elgin, Illinois",JBSS.US
JBTM,JBT Marel Corporation,Industrials,Industrial Machinery & Supplies & Components,"Chicago, Illinois",JBTM.US
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Pennsauken Township, New Jersey",JJSF.US
JOE,St. Joe Company,Real Estate,Real Estate Development,"Panama City Beach, Florida",JOE.US
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,"Lansing, Michigan",JXN.US
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,"Westford, Massachusetts",KAI.US
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,"Franklin, Tennessee",KALU.US
OPLN,"OPENLANE, Inc.",Industrials,Diversified Support Services,"Carmel, Indiana",OPLN.US
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,"Los Angeles, California",KFY.US
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Services,"The Woodlands, Texas",KGS.US
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Materials & Equipment,"Serangoon, North-East Region, Singapore",KLIC.US
KMPR,Kemper Corporation,Financials,Multi-line Insurance,"Chicago, Illinois",KMPR.US
KMT,Kennametal,Industrials,Industrial Machinery & Supplies & Components,"Pittsburgh, Pennsylvania",KMT.US
KMX,"CarMax, Inc.",Consumer Discretionary,Automotive Retail,"Richmond, Virginia",KMX.US
KN,Knowles Corporation,Information Technology,Electronic Components,"Itasca, Illinois",KN.US
KNTK,"Kinetik Holdings, Inc.",Energy,Oil & Gas Storage & Transportation,"Midland, Texas",KNTK.US
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,"Pittsburgh, Pennsylvania",KOP.US
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology,"Pittsburgh, Pennsylvania",KRYS.US
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,"Menomonee Falls, Wisconsin",KSS.US
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",KTB.US
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,"Beverly Hills, California",KW.US
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,"Conshohocken, Pennsylvania",KWR.US
LAUR,"Laureate Education, Inc.",Consumer Discretionary,Education Services,"Miami, Florida",LAUR.US
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,"Denver, Colorado",LBRT.US
LCII,LCI Industries,Consumer Discretionary,Automotive Parts & Equipment,"Elkhart, Indiana",LCII.US
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",LEG.US
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,"The Woodlands, Texas",LGIH.US
LIF,Life360,Information Technology,Application Software,"San Mateo, California",LIF.US
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,"San Diego, California",LGND.US
LKFN,Lakeland Financial,Financials,Regional Banks,"Warsaw, Indiana",LKFN.US
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Nashville, Tennessee",LKQ.US
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,"Burlington, Massachusetts",LMAT.US
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",LNC.US
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,"Omaha, Nebraska",LNN.US
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,"Stamford, Connecticut",LPG.US
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,"Bethesda, Maryland",LQDT.US
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",LRN.US
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,"Westlake Village, California",LTC.US
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,Leisure Facilities,"Chanhassen, Minnesota",LTH.US
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",LUMN.US
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",LW.US
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,"New York City, New York",LXP.US
LYFT,"Lyft, Inc.",Industrials,Passenger Ground Transportation,"San Francisco, California",LYFT.US
LZ,"LegalZoom.com, Inc.",Industrials,Research & Consulting Services,"Mountain View, California",LZ.US
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,"Monroe, Michigan",LZB.US
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",MAC.US
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services,"Milwaukee, Wisconsin",MAN.US
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"Fort Lauderdale, Florida",MARA.US
MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services,"Pittsburgh, Pennsylvania",MATW.US
MATX,"Matson, Inc.",Industrials,Marine Transportation,"Honolulu, Hawaii",MATX.US
MBC,"MasterBrand, Inc.",Industrials,Building Products,"Jasper, Indiana",MBC.US
MBIN,Merchants Bancorp,Financials,Regional Banks,"Carmel, Indiana",MBIN.US
MC,Moelis & Company,Financials,Investment Banking & Brokerage,"New York City, New York",MC.US
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",MCRI.US
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services,"Tucson, Arizona",MCW.US
MCY,Mercury General,Financials,Property & Casualty Insurance,"Los Angeles, California",MCY.US
MD,Pediatrix Medical Group,Health Care,Health Care Services,"Sunrise, Florida",MD.US
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,"Bismarck, North Dakota",MDU.US
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,"Madison, Wisconsin",MGEE.US
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",MGY.US
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",MHK.US
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",MHO.US
MIR,"Mirion Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,"Atlanta, Georgia",MIR.US
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",MKTX.US
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,"Zeeland, Michigan",MLKN.US
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,"Calabasas, California",MMI.US
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,"South Jordan, Utah",MMSI.US
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,"Rochester, New York",MNRO.US
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",MOH.US
MPT,Medical Properties Trust,Real Estate,Health Care REITs,"Birmingham, Alabama",MPT.US
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",MRCY.US
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,"Chevy Chase, Maryland",MRP.US
MRTN,"Marten Transport, Ltd.",Industrials,Cargo Ground Transportation,"Mondovi, Wisconsin",MRTN.US
MSEX,Middlesex Water Company,Utilities,Water Utilities,"Iselin, New Jersey",MSEX.US
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,"New York City, New York",MSGS.US
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",MTCH.US
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona",MTH.US
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,"Mayfield Heights, Ohio",MTRN.US
MTUS,Metallus Inc,Materials,Steel,"Canton, Ohio",MTUS.US
MTX,Minerals Technologies,Materials,Specialty Chemicals,"New York City, New York",MTX.US
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,"Atlanta, Georgia",MWA.US
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,"Carlsbad, California",MXL.US
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,"Thornton, Colorado",MYRG.US
NABL,"N-able, Inc.",Information Technology,Systems Software,"Wilmington, Delaware",NABL.US
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",NATL.US
NAVI,Navient,Financials,Consumer Finance,"Wilmington, Delaware",NAVI.US
NBHC,National Bank Holdings Corporation,Financials,Regional Banks,"Greenwood Village, Colorado",NBHC.US
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,"Norwich, New York",NBTB.US
NE,Noble Corporation,Energy,Oil & Gas Drilling,"Houston, Texas",NE.US
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,"Fort Myers, Florida",NEO.US
NEOG,Neogen,Health Care,Health Care Supplies,"Lansing, Michigan",NEOG.US
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,"North Charleston, South Carolina",NGVT.US
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,"Murfreesboro, Tennessee",NHC.US
NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Emeryville, California",NMIH.US
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,"Minnetonka, Minnesota",NOG.US
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,"Eau Claire, Wisconsin",NPK.US
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components,"Charlotte, North Carolina",NPO.US
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,"Tempe, Arizona",NSIT.US
NSP,Insperity,Industrials,Human Resource & Employment Services,"Houston, Texas",NSP.US
NSSC,Napco Security Technologies,Information Technology,Electronic Equipment & Instruments,"Amityville, New York",NSSC.US
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,"Westford, Massachusetts",NTCT.US
NVRI,Enviri Corporation,Industrials,Industrial Machinery & Supplies & Components,"Philadelphia, Pennsylvania",NVRI.US
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,"Warren, Pennsylvania",NWBI.US
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",NWL.US
NWN,NW Natural,Utilities,Gas Utilities,"Portland, Oregon",NWN.US
NX,Quanex Building Products Corporation,Industrials,Building Products,"Houston, Texas",NX.US
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,"Dallas, Texas",NXRT.US
OFG,OFG Bancorp,Financials,Regional Banks,"San Juan, Puerto Rico",OFG.US
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",OGN.US
OI,"O-I Glass, Inc.",Materials,"Metal, Glass & Plastic Containers","Perrysburg, Ohio",OI.US
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",OII.US
OMCL,Omnicell,Health Care,Health Care Technology,"Fort Worth, Texas",OMCL.US
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,"Hawthorne, California",OSIS.US
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,Leisure Facilities,"Nassau, Bahamas",OSW.US
OTTR,Otter Tail Corporation,Utilities,Electric Utilities,"Fergus Falls, Minnesota",OTTR.US
OUT,Outfront Media,Real Estate,Other Specialized REITs,"New York City, New York",OUT.US
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",OXM.US
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,"Teaneck, New Jersey",PAHC.US
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,"Houston, Texas",PARR.US
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",PAYC.US
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,"New York City, New York",PAYO.US
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Elkhart, Indiana",PATK.US
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,"Tarrytown, New York",PBH.US
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,"Stamford, Connecticut",PBI.US
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,"Tampa, Florida",PCRX.US
PDFS,"PDF Solutions, Inc.",Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",PDFS.US
PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",PEB.US
PECO,Phillips Edison & Company,Real Estate,Retail REITs,"Cincinnati, Ohio",PECO.US
PENG,"Penguin Solutions, Inc.",Information Technology,Semiconductors,"Milpitas, California",PENG.US
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",PENN.US
PFBC,Preferred Bank,Financials,Regional Banks,"Los Angeles, California",PFBC.US
PFS,"Provident Financial Services, Inc.",Financials,Regional Banks,"Jersey City, New Jersey",PFS.US
PGNY,Progyny,Health Care,Health Care Services,"New York City, New York",PGNY.US
PHIN,"PHINIA, Inc.",Consumer Discretionary,Automotive Retail,"Auburn Hills, Michigan",PHIN.US
PI,"Impinj, Inc.",Information Technology,Electronic Equipment & Instruments,"Seattle, Washington",PI.US
PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage,"Minneapolis, Minnesota",PIPR.US
PJT,"PJT Partners, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York",PJT.US
PLAB,"Photronics, Inc.",Information Technology,Semiconductor Materials & Equipment,"Brookfield, Connecticut",PLAB.US
PLMR,"Palomar Holdings, Inc.",Financials,Property & Casualty Insurance,"La Jolla, California",PLMR.US
PLUS,"ePlus, Inc.",Information Technology,Technology Distributors,"Herndon, Virginia",PLUS.US
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,"Neenah, Wisconsin",PLXS.US
PMT,PennyMac Mortgage Investment Trust,Real Estate,Mortgage REITs,"Westlake Village, California",PMT.US
POWI,Power Integrations,Information Technology,Semiconductors,"San Jose, California",POWI.US
POWL,"Powell Industries, Inc.",Industrials,Electrical Components & Equipment,"Houston, Texas",POWL.US
PRA,ProAssurance Corporation,Financials,Property & Casualty Insurance,"Birmingham, Alabama",PRA.US
PRAA,"PRA Group, Inc.",Financials,Consumer Finance,"Norfolk, Virginia",PRAA.US
PRDO,Perdoceo Education Corp.,Consumer Discretionary,Education Services,"Schaumburg, Illinois",PRDO.US
PRG,"PROG Holdings, Inc.",Financials,Consumer Finance,"Draper, Utah",PRG.US
PRGO,Perrigo,Health Care,Pharmaceuticals,"Grand Rapids, Michigan",PRGO.US
PRGS,Progress Software Corporation,Information Technology,Systems Software,"Burlington, Massachusetts",PRGS.US
PRIM,Primoris Services Corporation,Industrials,Construction & Engineering,"Dallas, Texas",PRIM.US
PRK,Park National Corp.,Financials,Regional Banks,"Newark, Ohio",PRK.US
PRKS,United Parks & Resorts,Consumer Discretionary,Leisure Facilities,"Orlando, Florida",PRKS.US
PRLB,Protolabs,Industrials,Industrial Machinery & Supplies & Components,"Maple Plain, Minnesota",PRLB.US
PRSU,"Pursuit Attractions & Hospitality, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Scottsdale, Arizona",PRSU.US
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services,"Arlington County, Virginia",PRVA.US
PSMT,PriceSmart,Consumer Staples,Consumer Staples Merchandise Retail,"San Diego, California",PSMT.US
PTCT,"PTC Therapeutics, Inc.",Health Care,Pharmaceuticals,"Warren Township, New Jersey",PTCT.US
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,"Houston, Texas",PTEN.US
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology,"Newark, California",PTGX.US
PZZA,Papa John's Pizza,Consumer Discretionary,Restaurants,"Jeffersontown, Kentucky",PZZA.US
QDEL,QuidelOrtho,Health Care,Health Care Supplies,"San Diego, California",QDEL.US
QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services,"Foster City, California",QNST.US
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",QRVO.US
QTWO,"Q2 Holdings, Inc.",Information Technology,Application Software,"Austin, Texas",QTWO.US
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,"San Francisco, California",RAMP.US
RAL,Ralliant Corp,Information Technology,Electronic Equipment & Instruments,"New York City, New York",RAL.US
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,"Hayward, California",RCUS.US
RDN,"Radian Group, Inc.",Financials,Property & Casualty Insurance,"Philadelphia, Pennsylvania",RDN.US
RDNT,"RadNet, Inc.",Health Care,Health Care Services,"Los Angeles, California",RDNT.US
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,"Atlanta, Georgia",RES.US
REYN,Reynolds Consumer Products,Consumer Staples,Household Products,"Lake Forest, Illinois",REYN.US
REX,REX American Resources Corporation,Energy,Oil & Gas Refining & Marketing,"Dayton, Ohio",REX.US
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,"Scottsdale, Arizona",REZI.US
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",RHI.US
RHP,Ryman Hospitality Properties,Real Estate,Hotel & Resort REITs,"Nashville, Tennessee",RHP.US
RITM,Rithm Capital,Financials,Mortgage REITs,"New York City, New York",RITM.US
RNG,"RingCentral, Inc.",Information Technology,Application Software,"Belmont, California",RNG.US
RNST,Renasant Corp.,Financials,Regional Banks,"Tupelo, Mississippi",RNST.US
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products,"Buffalo, New York",ROCK.US
ROG,Rogers Corporation,Information Technology,Electronic Components,"Chandler, Arizona",ROG.US
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",RRR.US
RUN,Sunrun,Industrials,Building Products,"San Francisco, California",RUN.US
RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment,"New Braunfels, Texas",RUSHA.US
RWT,"Redwood Trust, Inc.",Real Estate,Mortgage REITs,"Mill Valley, California",RWT.US
RXO,"RXO, Inc.",Industrials,Cargo Ground Transportation,"Charlotte, North Carolina",RXO.US
SAFE,"Safehold, Inc.",Real Estate,Other Specialized REITs,"New York City, New York",SAFE.US
SABR,Sabre,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Southlake, Texas",SABR.US
SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance,"Boston, Massachusetts",SAFT.US
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Charlotte, North Carolina",SAH.US
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,"San Jose, California",SANM.US
SBCF,Seacoast Banking Corporation of Florida,Financials,Regional Banks,"Stuart, Florida",SBCF.US
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores,"Denton, Texas",SBH.US
SBSI,"Southside Bancshares, Inc.",Financials,Regional Banks,"Tyler, Texas",SBSI.US
SCHL,Scholastic Corporation,Consumer Discretionary,Publishing,"New York City, New York",SCHL.US
SCL,Stepan Company,Materials,Specialty Chemicals,"Northfield, Illinois",SCL.US
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,"Greenville, South Carolina",SCSC.US
SDGR,"Schrödinger, Inc.",Health Care,Health Care Services,"New York City, New York",SDGR.US
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,"Herzliya, Israel",SEDG.US
SEM,"Select Medical Holdings, Corp.",Health Care,Health Care Facilities,"Mechanicsburg, Pennsylvania",SEM.US
SEZL,Sezzle,Financials,Transaction & Payment Processing Services,"Minneapolis, Minnesota",SEZL.US
SFBS,"ServisFirst Bancshares, Inc.",Financials,Regional Banks,"Birmingham, Alabama",SFBS.US
SFNC,Simmons First National Corporation,Financials,Regional Banks,"Little Rock, Arkansas",SFNC.US
SHAK,"Shake Shack, Inc.",Consumer Discretionary,Restaurants,"New York City, New York",SHAK.US
SHEN,Shenandoah Telecommunications Co,Communication Services,Wireless Telecommunication Services,"Edinburg, Virginia",SHEN.US
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,Hotel & Resort REITs,"Aliso Viejo, California",SHO.US
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Footwear,"Long Island City, New York",SHOO.US
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Akron, Ohio",SIG.US
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,Retail REITs,"Greensboro, North Carolina",SKT.US
SKY,"Champion Homes, Inc.",Consumer Discretionary,Homebuilding,"Troy, Michigan",SKY.US
SKYW,"SkyWest, Inc.",Industrials,Passenger Airlines,"St. George, Utah",SKYW.US
SLG,SL Green Realty,Real Estate,Office REITs,"New York City, New York",SLG.US
SLVM,Sylvamo Corp.,Materials,Paper Products,"Memphis, Tennessee",SLVM.US
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",SM.US
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Long Island City, New York",SMP.US
SMPL,Simply Good Foods Company,Consumer Staples,Packaged Foods & Meats,"Denver, Colorado",SMPL.US
SMTC,Semtech Corporation,Information Technology,Semiconductors,"Camarillo, California",SMTC.US
SNCY,Sun Country Airlines,Industrials,Passenger Airlines,"Minneapolis, Minnesota",SNCY.US
SNDR,Schneider National,Industrials,Cargo Ground Transportation,"Green Bay, Wisconsin",SNDR.US
SNEX,StoneX Group Inc.,Financials,Investment Banking & Brokerage,"New York City, New York",SNEX.US
SONO,"Sonos, Inc.",Consumer Discretionary,Consumer Electronics,"Santa Barbara, California",SONO.US
SPHR,Sphere Entertainment,Communication Services,Movies & Entertainment,"New York City, New York",SPHR.US
SPNT,SiriusPoint Ltd.,Financials,Reinsurance,"New York City, New York",SPNT.US
SPSC,"SPS Commerce, Inc.",Information Technology,Application Software,"Minneapolis, Minnesota",SPSC.US
SRPT,Sarepta Therapeutics,Health Care,Biotechnology,"Cambridge, Massachusetts",SRPT.US
SSTK,"Shutterstock, Inc.",Communication Services,Interactive Media & Services,"New York City, New York",SSTK.US
STAA,STAAR Surgical Company,Health Care,Health Care Equipment,"Monrovia, California",STAA.US
STBA,"S&T Bancorp, Inc.",Financials,Regional Banks,"Indiana, Pennsylvania",STBA.US
STC,Stewart Information Services Corporation,Financials,Property & Casualty Insurance,"Houston, Texas",STC.US
STEL,"Stellar Bancorp, Inc.",Financials,Regional Banks,"Houston, Texas",STEL.US
STEP,StepStone Group,Financials,Asset Management & Custody Banks,"New York City, New York",STEP.US
STRA,"Strategic Education, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",STRA.US
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rockville, Maryland",SUPN.US
SXI,Standex International Corporation,Industrials,Industrial Machinery & Supplies & Components,"Salem, New Hampshire",SXI.US
SXT,Sensient Technologies,Materials,Specialty Chemicals,"Milwaukee, Wisconsin",SXT.US
TALO,"Talos Energy, Inc.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",TALO.US
TBBK,"The Bancorp, Inc.",Financials,Regional Banks,"Wilmington, Delaware",TBBK.US
TDC,Teradata,Information Technology,IT Consulting & Other Services,"San Diego, California",TDC.US
TDS,"Telephone and Data Systems, Inc.",Communication Services,Integrated Telecommunication Services,"Chicago, Illinois",TDS.US
TDW,"Tidewater, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",TDW.US
TFIN,"Triumph Bancorp, Inc.",Financials,Regional Banks,"Dallas, Texas",TFIN.US
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",TFX.US
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,"Morrisville, North Carolina",TGTX.US
THRM,Gentherm Incorporated,Consumer Discretionary,Automotive Parts & Equipment,"Farmington Hills, Michigan",THRM.US
TILE,"Interface, Inc.",Industrials,Office Services & Supplies,"Atlanta, Georgia",TILE.US
TMDX,"TransMedics Group, Inc.",Health Care,Health Care Equipment,"Andover, Massachusetts",TMDX.US
TMP,Tompkins Financial Corporation,Financials,Regional Banks,"Ithaca, New York",TMP.US
TNC,Tennant Company,Industrials,Industrial Machinery & Supplies & Components,"Eden Prairie, Minnesota",TNC.US
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,"San Diego, California",TNDM.US
TPH,"Tri Pointe Homes, Inc.",Consumer Discretionary,Homebuilding,"Incline Village, Nevada",TPH.US
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",TR.US
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Needham, Massachusetts",TRIP.US
TRMK,Trustmark Corp.,Financials,Regional Banks,"Jackson, Mississippi",TRMK.US
TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,"Dallas, Texas",TRN.US
TRNO,Terreno Realty Corporation,Real Estate,Industrial REITs,"San Francisco, California",TRNO.US
TRST,TrustCo Bank Corp NY,Financials,Regional Banks,"Glenville, New York",TRST.US
TRUP,Trupanion,Financials,Life & Health Insurance,"Seattle, Washington",TRUP.US
TWO,Two Harbors Investment Corp.,Financials,Mortgage REITs,"St. Louis Park, Minnesota",TWO.US
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",UA.US
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",UAA.US
UCB,"United Community Banks, Inc.",Financials,Regional Banks,"Greenville, South Carolina",UCB.US
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,Semiconductor Materials & Equipment,"Hayward, California",UCTT.US
UE,Urban Edge Properties,Real Estate,Retail REITs,"Paramus, New Jersey",UE.US
UFCS,"United Fire Group, Inc.",Financials,Property & Casualty Insurance,"Cedar Rapids, Iowa",UFCS.US
UFPT,"UFP Technologies, Inc.",Health Care,Health Care Equipment,"Newburyport, Massachusetts",UFPT.US
UHT,Universal Health Realty Income Trust,Real Estate,Health Care REITs,"King of Prussia, Pennsylvania",UHT.US
UNF,UniFirst Corporation,Industrials,Diversified Support Services,"Wilmington, Massachusetts",UNF.US
UNFI,United Natural Foods Inc,Consumer Staples,Food Retail,"Providence, Rhode Island",UNFI.US
UNIT,Uniti Group,Communication Services,Alternative Carriers,"Little Rock, Arkansas",UNIT.US
UPBD,"Upbound Group, Inc.",Consumer Discretionary,Computer & Electronics Retail,"Plano, Texas",UPBD.US
UPWK,"Upwork, Inc.",Industrials,Human Resource & Employment Services,"Palo Alto, California",UPWK.US
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",URBN.US
USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities,"Houston, Texas",USPH.US
UTL,Unitil Corporation,Utilities,Electric Utilities,"Hampton, New Hampshire",UTL.US
UVV,Universal Corporation,Consumer Staples,Tobacco,"Richmond, Virginia",UVV.US
VAC,Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",VAC.US
VCEL,Vericel,Health Care,Biotechnology,"Cambridge, Massachusetts",VCEL.US
VCTR,"Victory Capital Holdings, Inc.",Financials,Asset Management & Custody Banks,"San Antonio, Texas",VCTR.US
