ticker,eodhd_ticker,name,sector,industry,ipo_date,market_cap
ASGN,ASGN.US,ASGN Inc,Technology,Information Technology Services,1992-09-22,
ASO,ASO.US,Academy Sports Outdoors Inc,Consumer Cyclical,Specialty Retail,2020-10-02,
ASTE,ASTE.US,Astec Industries Inc,Industrials,Farm & Heavy Construction Machinery,1986-06-19,
ASTH,ASTH.US,Astrana Health Inc,Healthcare,Medical Care Facilities,2000-01-13,
ATEN,ATEN.US,A10 Network,Technology,Software - Infrastructure,2014-03-21,
ATMU,ATMU.US,Atmus Filtration Technologies Inc.,Consumer Cyclical,Auto Parts,2023-05-26,
AVA,AVA.US,Avista Corporation,Utilities,Utilities - Diversified,1987-11-16,
AVNS,AVNS.US,Avanos Medical Inc,Healthcare,Medical Devices,2014-10-21,
AWI,AWI.US,Armstrong World Industries Inc,Industrials,Building Products & Equipment,2006-10-18,
AWR,AWR.US,American States Water Company,Utilities,Utilities - Regulated Water,1990-03-26,
AZTA,AZTA.US,Azenta Inc,Healthcare,Medical Instruments & Supplies,1995-02-02,
AZZ,AZZ.US,AZZ Incorporated,Industrials,Specialty Business Services,1984-09-07,
BCC,BCC.US,Boise Cascad Llc,Basic Materials,Lumber & Wood Production,2013-02-06,
BCPC,BCPC.US,Balchem Corporation,Basic Materials,Specialty Chemicals,1986-06-03,
BFS,BFS.US,Saul Centers Inc,Real Estate,REIT - Retail,1993-08-19,
BHE,BHE.US,Benchmark Electronics Inc,Technology,Electronic Components,1990-06-28,
BJRI,BJRI.US,BJs Restaurants Inc,Consumer Cyclical,Restaurants,1996-10-08,
BKE,BKE.US,Buckle Inc,Consumer Cyclical,Apparel Retail,1992-05-06,
BL,BL.US,Blackline Inc,Technology,Software - Application,2016-10-28,
BLFS,BLFS.US,BioLife Solutions Inc,Healthcare,Medical Instruments & Supplies,1989-11-22,
BMI,BMI.US,Badger Meter Inc,Technology,Scientific & Technical Instruments,1984-09-07,
BNL,BNL.US,Broadstone Net Lease Inc,Real Estate,REIT - Diversified,2020-09-17,
BOOT,BOOT.US,Boot Barn Holdings Inc,Consumer Cyclical,Apparel Retail,2014-10-30,
BOX,BOX.US,Box Inc,Technology,Software - Infrastructure,2015-01-23,
BRC,BRC.US,Brady Corporation,Industrials,Security & Protection Services,1984-06-28,
BTSG,BTSG.US,"BrightSpring Health Services, Inc. Common Stock",Healthcare,Health Information Services,2024-01-26,
BTU,BTU.US,Peabody Energy Corp,Energy,Thermal Coal,2001-05-22,
BXMT,BXMT.US,Blackstone Mortgage Trust Inc,Real Estate,REIT - Mortgage,1987-11-05,
CABO,CABO.US,Cable One Inc,Communication Services,Telecom Services,2015-07-01,
CAKE,CAKE.US,The Cheesecake Factory,Consumer Cyclical,Restaurants,1992-09-17,
CALM,CALM.US,Cal-Maine Foods Inc,Consumer Defensive,Farm Products,1996-12-11,
CALX,CALX.US,Calix Inc,Technology,Software - Infrastructure,2010-03-24,
CALY,CALY.US,Callaway Golf Company,Consumer Cyclical,Leisure,1992-02-28,
CARG,CARG.US,CarGurus,Consumer Cyclical,Auto & Truck Dealerships,2017-10-12,
CBRL,CBRL.US,Cracker Barrel Old Country Store,Consumer Cyclical,Restaurants,1984-09-07,
CC,CC.US,Chemours Co,Basic Materials,Specialty Chemicals,2015-07-01,
CCOI,CCOI.US,Cogent Communications Group Inc,Communication Services,Telecom Services,2002-02-05,
CCS,CCS.US,Century Communities Inc,Real Estate,Real Estate - Development,2014-06-18,
CE,CE.US,Celanese Corporation,Basic Materials,Chemicals,2005-01-21,
CENT,CENT.US,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,1993-07-15,
CENTA,CENTA.US,Central Garden & Pet Company A,Consumer Defensive,Packaged Foods,1993-07-15,
CENX,CENX.US,Century Aluminum Company,Basic Materials,Aluminum,1996-03-28,
CERT,CERT.US,Certara Inc,Healthcare,Health Information Services,2020-12-11,
CHEF,CHEF.US,The Chefs Warehouse Inc,Consumer Defensive,Food Distribution,2011-07-28,
CLB,CLB.US,Core Laboratories NV,Energy,Oil & Gas Equipment & Services,1995-09-20,
CNK,CNK.US,Cinemark Holdings Inc,Communication Services,Entertainment,2007-04-24,
CNMD,CNMD.US,CONMED Corporation,Healthcare,Medical Devices,1987-07-23,
CNR,CNR.US,"Core Natural Resources, Inc.",Energy,Thermal Coal,1992-04-06,
CNXN,CNXN.US,PC Connection Inc,Technology,Electronics & Computer Distribution,1998-03-04,
COCO,COCO.US,Vita Coco Company Inc,Consumer Defensive,Beverages - Non-Alcoholic,2021-10-21,
COHU,COHU.US,Cohu Inc,Technology,Semiconductor Equipment & Materials,1986-11-12,
COLL,COLL.US,Collegium Pharmaceutical Inc,Healthcare,Drug Manufacturers - Specialty & Generic,2015-05-07,
CORT,CORT.US,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,2004-04-14,
CPK,CPK.US,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,1990-03-26,
CPRX,CPRX.US,Catalyst Pharmaceuticals Inc,Healthcare,Biotechnology,2006-11-08,
CRC,CRC.US,California Resources Corp,Energy,Oil & Gas E&P,2020-10-28,
CRGY,CRGY.US,Crescent Energy Co,Energy,Oil & Gas E&P,2021-12-08,
CRI,CRI.US,Carter’s Inc,Consumer Cyclical,Apparel Retail,2003-10-24,
CRK,CRK.US,Comstock Resources Inc,Energy,Oil & Gas E&P,1990-03-26,
CRSR,CRSR.US,Corsair Gaming Inc,Technology,Computer Hardware,2020-09-23,
CSGS,CSGS.US,CSG Systems International Inc,Technology,Software - Infrastructure,1996-02-28,
CSR,CSR.US,Centerspace,Real Estate,REIT - Residential,1997-10-17,
CSW,CSW.US,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,2025-06-09,
CTKB,CTKB.US,Cytek Biosciences Inc,Healthcare,Medical Devices,2021-07-23,
CTS,CTS.US,CTS Corporation,Technology,Electronic Components,1987-11-05,
CVCO,CVCO.US,Cavco Industries Inc,Consumer Cyclical,Residential Construction,2003-07-01,
CVI,CVI.US,CVR Energy Inc,Energy,Oil & Gas Refining & Marketing,2007-10-23,
CVSA,CVSA.US,Covista Inc.,Consumer Defensive,Education & Training Services,1991-06-21,
CWEN,CWEN.US,Clearway Energy Inc Class C,Utilities,Utilities - Renewable,2013-07-17,
CWEN-A,CWEN-A.US,Clearway Energy Inc,Utilities,Utilities - Renewable,2015-05-15,
CWK,CWK.US,Cushman & Wakefield plc,Real Estate,Real Estate Services,2018-08-02,
CWST,CWST.US,Casella Waste Systems Inc,Industrials,Waste Management,1997-10-28,
CWT,CWT.US,California Water Service Group,Utilities,Utilities - Regulated Water,1990-03-26,
CXW,CXW.US,CoreCivic Inc,Industrials,Security & Protection Services,1997-07-15,
CZR,CZR.US,Caesars Entertainment Corporation,Consumer Cyclical,Resorts & Casinos,1989-12-13,
DAN,DAN.US,Dana Inc,Consumer Cyclical,Auto Parts,2008-01-02,
DBD,DBD.US,"Diebold Nixdorf, Incorporated",Technology,Software - Application,,
DCH,DCH.US,Dauch Corporation,Consumer Cyclical,Auto Parts,1999-01-29,
DEA,DEA.US,Eerly Govt Ppty Inc,Real Estate,REIT - Office,2015-02-06,
DEI,DEI.US,Douglas Emmett Inc,Real Estate,REIT - Office,2006-10-25,
DFH,DFH.US,Dream Finders Homes Inc,Consumer Cyclical,Residential Construction,2021-01-21,
DFIN,DFIN.US,Donnelley Financial Solutions Inc,Technology,Software - Application,2016-10-03,
DGII,DGII.US,Digi International Inc,Technology,Communication Equipment,1990-03-26,
DIOD,DIOD.US,Diodes Incorporated,Technology,Semiconductors,1992-03-17,
DLX,DLX.US,Deluxe Corporation,Industrials,Conglomerates,1987-07-23,
DNOW,DNOW.US,Now Inc,Industrials,Industrial Distribution,2014-05-20,
DORM,DORM.US,Dorman Products Inc,Consumer Cyclical,Auto Parts,1991-03-12,
DRH,DRH.US,Diamondrock Hospitality Company Common Stock,Real Estate,REIT - Hotel & Motel,2005-05-26,
DV,DV.US,DoubleVerify Holdings Inc,Communication Services,Advertising Agencies,2021-04-21,
DXC,DXC.US,DXC Technology Co,Technology,Information Technology Services,2017-02-01,
DXPE,DXPE.US,DXP Enterprises Inc,Industrials,Industrial Distribution,1996-12-27,
EAT,EAT.US,Brinker International Inc,Consumer Cyclical,Restaurants,1989-07-28,
EFC,EFC.US,Ellington Financial Inc.,Real Estate,REIT - Mortgage,2010-10-08,
EMBC,EMBC.US,Embecta Corp,Healthcare,Medical Instruments & Supplies,2022-04-01,
EMN,EMN.US,Eastman Chemical Company,Basic Materials,Specialty Chemicals,1993-10-10,
ENOV,ENOV.US,Enovis Corp,Healthcare,Medical Devices,2008-05-08,
ENPH,ENPH.US,Enphase Energy Inc,Technology,Solar,2012-03-30,
ENR,ENR.US,Energizer Holdings Inc,Industrials,Electrical Equipment & Parts,2000-03-27,
EPAC,EPAC.US,Enerpac Tool Group Corp,Industrials,Specialty Industrial Machinery,2000-07-24,
EPC,EPC.US,Edgewell Personal Care Co,Consumer Defensive,Household & Personal Products,2000-03-27,
EPRT,EPRT.US,Essential Properties Realty Trust Inc,Real Estate,REIT - Retail,2018-06-21,
ESE,ESE.US,ESCO Technologies Inc,Technology,Scientific & Technical Instruments,1990-10-01,
ESI,ESI.US,Element Solutions Inc,Basic Materials,Specialty Chemicals,2013-10-22,
ETD,ETD.US,Ethan Allen Interiors Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1993-03-16,
ETSY,ETSY.US,"Etsy, Inc.",Consumer Cyclical,Internet Retail,2015-04-16,
EVTC,EVTC.US,Evertec Inc,Technology,Software - Infrastructure,2013-04-12,
EXPI,EXPI.US,eXp World Holdings Inc,Real Estate,Real Estate Services,2014-02-19,
EXTR,EXTR.US,Extreme Networks Inc,Technology,Communication Equipment,1999-04-09,
EYE,EYE.US,National Vision Holdings Inc,Consumer Cyclical,Specialty Retail,2017-10-26,
FBRT,FBRT.US,Franklin BSP Realty Trust Inc,Real Estate,REIT - Mortgage,2021-10-19,
FCPT,FCPT.US,Four Corners Property Trust Inc,Real Estate,REIT - Retail,2015-11-10,
FDP,FDP.US,Fresh Del Monte Produce Inc,Consumer Defensive,Farm Products,1997-10-03,
FELE,FELE.US,Franklin Electric Co Inc,Industrials,Specialty Industrial Machinery,1990-03-26,
FIZZ,FIZZ.US,National Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic,1991-09-06,
FMC,FMC.US,FMC Corporation,Basic Materials,Agricultural Inputs,1985-07-01,
FORM,FORM.US,FormFactor Inc,Technology,Semiconductor Equipment & Materials,2003-06-12,
FOXF,FOXF.US,Fox Factory Holding Corp,Consumer Cyclical,Auto Parts,2013-08-12,
FRPT,FRPT.US,Freshpet Inc,Consumer Defensive,Packaged Foods,2014-11-07,
FSS,FSS.US,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,1982-03-01,
FTDR,FTDR.US,Frontdoor Inc,Consumer Cyclical,Personal Services,2018-09-13,
FUL,FUL.US,H B Fuller Company,Basic Materials,Specialty Chemicals,1990-03-26,
FUN,FUN.US,Six Flags Entertainment Corporation,Consumer Cyclical,Leisure,1987-04-23,
FWRD,FWRD.US,Forward Air Corporation,Industrials,Integrated Freight & Logistics,1993-11-16,
GBX,GBX.US,Greenbrier Companies Inc,Industrials,Railroads,1994-07-14,
GDEN,GDEN.US,Golden Entertainment Inc,Consumer Cyclical,Resorts & Casinos,1999-01-04,
GDYN,GDYN.US,Grid Dynamics Holdings Inc,Technology,Information Technology Services,2018-10-30,
GEO,GEO.US,Geo Group Inc,Industrials,Security & Protection Services,1994-07-26,
GFF,GFF.US,Griffon Corporation,Industrials,Building Products & Equipment,1973-05-03,
GIII,GIII.US,G-III Apparel Group Ltd,Consumer Cyclical,Apparel Manufacturing,1989-12-14,
GKOS,GKOS.US,Glaukos Corp,Healthcare,Medical Devices,2015-06-25,
GNL,GNL.US,"Global Net Lease, Inc.",Real Estate,REIT - Diversified,2015-06-02,
GO,GO.US,Grocery Outlet Holding Corp,Consumer Defensive,Grocery Stores,2019-06-20,
GOGO,GOGO.US,Gogo Inc,Communication Services,Telecom Services,2013-06-21,
GOLF,GOLF.US,Acushnet Holdings Corp,Consumer Cyclical,Leisure,2016-10-28,
GPI,GPI.US,Group 1 Automotive Inc,Consumer Cyclical,Auto & Truck Dealerships,1997-10-30,
GRBK,GRBK.US,Green Brick Partners Inc,Consumer Cyclical,Residential Construction,2007-06-14,
GTES,GTES.US,Gates Industrial Corporation plc,Industrials,Specialty Industrial Machinery,2018-01-25,
GTM,GTM.US,ZoomInfo Technologies Inc.,Technology,Software - Application,2020-06-04,
GTY,GTY.US,Getty Realty Corporation,Real Estate,REIT - Retail,1973-05-03,
GVA,GVA.US,Granite Construction Incorporated,Industrials,Engineering & Construction,1990-04-20,
HAYW,HAYW.US,Hayward Holdings Inc,Industrials,Electrical Equipment & Parts,2021-03-12,
HCC,HCC.US,Warrior Met Coal Inc,Basic Materials,Coking Coal,2017-04-13,
HCSG,HCSG.US,Healthcare Services Group Inc,Healthcare,Medical Care Facilities,1990-03-26,
HE,HE.US,Hawaiian Electric Industries Inc,Utilities,Utilities - Regulated Electric,1987-11-05,
HIW,HIW.US,Highwoods Properties Inc,Real Estate,REIT - Office,1994-06-07,
HLIT,HLIT.US,Harmonic Inc,Technology,Communication Equipment,1995-05-22,
HLX,HLX.US,Helix Energy Solutions Group Inc,Energy,Oil & Gas Equipment & Services,1997-07-01,
HNI,HNI.US,HNI Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1990-03-26,
HP,HP.US,Helmerich and Payne Inc,Energy,Oil & Gas Drilling,1980-10-15,
HRMY,HRMY.US,Harmony Biosciences Holdings,Healthcare,Biotechnology,2020-08-19,
HSTM,HSTM.US,HealthStream Inc,Healthcare,Health Information Services,2000-04-05,
HTLD,HTLD.US,Heartland Express Inc,Industrials,Trucking,1990-03-26,
HTO,HTO.US,H2O America,Utilities,Utilities - Regulated Water,1972-06-01,
HTZ,HTZ.US,Hertz Global Holdings Inc,Industrials,Rental & Leasing Services,2021-07-01,
HUBG,HUBG.US,Hub Group Inc,Industrials,Integrated Freight & Logistics,1996-03-13,
HWKN,HWKN.US,Hawkins Inc,Basic Materials,Specialty Chemicals,1993-10-27,
HZO,HZO.US,MarineMax Inc,Consumer Cyclical,Specialty Retail,1998-06-02,
IAC,IAC.US,IAC Inc.,Communication Services,Internet Content & Information,1992-05-28,
IART,IART.US,Integra LifeSciences Holdings,Healthcare,Medical Devices,1995-08-16,
IBP,IBP.US,Installed Building Products Inc,Consumer Cyclical,Residential Construction,2014-02-13,
ICHR,ICHR.US,Ichor Holdings Ltd,Technology,Semiconductor Equipment & Materials,2016-12-09,
ICUI,ICUI.US,ICU Medical Inc,Healthcare,Medical Instruments & Supplies,1992-03-31,
IIIN,IIIN.US,Insteel Industries Inc,Industrials,Metal Fabrication,1992-03-17,
IIPR,IIPR.US,Innovative Industrial Properties Inc,Real Estate,REIT - Industrial,2016-12-01,
INDV,INDV.US,Indivior PLC Ordinary Shares,Healthcare,Drug Manufacturers - Specialty & Generic,2014-12-29,
INSP,INSP.US,Inspire Medical Systems Inc,Healthcare,Medical Devices,2018-05-03,
INSW,INSW.US,International Seaways Inc,Energy,Oil & Gas Midstream,2016-12-01,
INVA,INVA.US,Innoviva Inc,Healthcare,Biotechnology,2004-10-05,
INVX,INVX.US,"Innovex International, Inc",Energy,Oil & Gas Equipment & Services,1997-10-23,
IOSP,IOSP.US,Innospec Inc,Basic Materials,Specialty Chemicals,1998-05-13,
IPAR,IPAR.US,Inter Parfums Inc,Consumer Defensive,Household & Personal Products,1988-01-15,
IRDM,IRDM.US,Iridium Communications Inc,Communication Services,Telecom Services,2008-03-20,
ITGR,ITGR.US,Integer Holdings Corp,Healthcare,Medical Devices,2000-09-29,
ITRI,ITRI.US,Itron Inc,Technology,Scientific & Technical Instruments,1993-11-04,
JBGS,JBGS.US,JBG SMITH Properties,Real Estate,REIT - Office,2017-07-11,
JBLU,JBLU.US,JetBlue Airways Corp,Industrials,Airlines,2002-04-12,
JBSS,JBSS.US,John B Sanfilippo & Son Inc,Consumer Defensive,Packaged Foods,1991-12-03,
JBTM,JBTM.US,JBTMarel Corp,Industrials,Specialty Industrial Machinery,2008-07-22,
JJSF,JJSF.US,J & J Snack Foods Corp,Consumer Defensive,Packaged Foods,1990-03-26,
JOE,JOE.US,St Joe Company,Real Estate,Real Estate - Diversified,1992-03-10,
KAI,KAI.US,Kadant Inc,Industrials,Specialty Industrial Machinery,1992-11-03,
KALU,KALU.US,Kaiser Aluminum Corporation,Basic Materials,Aluminum,1991-07-11,
OPLN,OPLN.US,"OPENLANE, Inc.",Consumer Cyclical,Auto & Truck Dealerships,2009-12-11,
KFY,KFY.US,Korn Ferry,Industrials,Staffing & Employment Services,1999-02-11,
KLIC,KLIC.US,Kulicke and Soffa Industries Inc,Technology,Semiconductor Equipment & Materials,1990-03-26,
KMT,KMT.US,Kennametal Inc,Industrials,Tools & Accessories,1987-11-05,
KMX,KMX.US,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships,1997-02-04,
KN,KN.US,Knowles Cor,Technology,Electronic Components,2014-02-14,
KNTK,KNTK.US,Kinetik Holdings Inc,Energy,Oil & Gas Midstream,2017-05-02,
KOP,KOP.US,Koppers Holdings Inc,Basic Materials,Specialty Chemicals,2006-02-01,
KRYS,KRYS.US,Krystal Biotech Inc,Healthcare,Biotechnology,2017-09-20,
KSS,KSS.US,Kohl's Corporation,Consumer Cyclical,Department Stores,1992-05-18,
KTB,KTB.US,Kontoor Brands Inc,Consumer Cyclical,Apparel Manufacturing,2019-05-09,
KW,KW.US,Kennedy-Wilson Holdings Inc,Real Estate,Real Estate Services,1992-08-07,
KWR,KWR.US,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,1985-11-01,
LAUR,LAUR.US,Laureate Education Inc,Consumer Defensive,Education & Training Services,2017-02-01,
LBRT,LBRT.US,Liberty Oilfield Services Inc,Energy,Oil & Gas Equipment & Services,2018-01-12,
LCII,LCII.US,LCI Industries,Consumer Cyclical,Recreational Vehicles,1989-05-03,
LEG,LEG.US,Leggett & Platt Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1987-11-05,
LGIH,LGIH.US,LGI Homes,Consumer Cyclical,Residential Construction,2013-11-07,
LIF,LIF.US,"Life360, Inc. Common Stock",Technology,Software - Application,2024-06-06,
LGND,LGND.US,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,1992-11-18,
LKQ,LKQ.US,LKQ Corporation,Consumer Cyclical,Auto Parts,2003-10-03,
LMAT,LMAT.US,LeMaitre Vascular Inc,Healthcare,Medical Instruments & Supplies,2006-10-19,
LNN,LNN.US,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery,1988-10-12,
LPG,LPG.US,Dorian LPG Ltd,Energy,Oil & Gas Midstream,2014-05-08,
LQDT,LQDT.US,Liquidity Services Inc,Consumer Cyclical,Internet Retail,2006-02-23,
LRN,LRN.US,Stride Inc,Consumer Defensive,Education & Training Services,2007-12-13,
LTC,LTC.US,LTC Properties Inc,Real Estate,REIT - Healthcare Facilities,1992-08-17,
LTH,LTH.US,Life Time Group Holdings Inc,Consumer Cyclical,Leisure,2021-10-07,
LUMN,LUMN.US,Lumen Technologies Inc,Communication Services,Telecom Services,1972-12-15,
LW,LW.US,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,2016-11-10,
LXP,LXP.US,LXP Industrial Trust,Real Estate,REIT - Industrial,1993-08-10,
LYFT,LYFT.US,LYFT Inc,Technology,Software - Application,2019-03-29,
LZ,LZ.US,LegalZoom.com Inc,Industrials,Specialty Business Services,2021-06-30,
LZB,LZB.US,La-Z-Boy Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1988-01-05,
MAC,MAC.US,Macerich Company,Real Estate,REIT - Retail,1994-03-09,
MAN,MAN.US,ManpowerGroup Inc,Industrials,Staffing & Employment Services,1988-05-03,
MATW,MATW.US,Matthews International Corporation,Industrials,Conglomerates,1994-07-20,
MATX,MATX.US,Matson Inc,Industrials,Marine Shipping,1973-05-03,
MBC,MBC.US,MasterBrand Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2022-12-15,
MCRI,MCRI.US,Monarch Casino & Resort Inc,Consumer Cyclical,Resorts & Casinos,1993-08-06,
MCW,MCW.US,"Mister Car Wash, Inc. Common Stock",Consumer Cyclical,Auto & Truck Dealerships,2021-06-25,
MD,MD.US,Mednax Inc,Healthcare,Medical Care Facilities,1995-09-19,
MDU,MDU.US,MDU Resources Group Inc,Utilities,Utilities - Regulated Gas,1987-11-05,
MGEE,MGEE.US,MGE Energy Inc,Utilities,Utilities - Regulated Electric,1990-03-26,
MGY,MGY.US,Magnolia Oil & Gas Corp,Energy,Oil & Gas E&P,2017-05-05,
MHK,MHK.US,Mohawk Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1992-04-01,
MHO,MHO.US,M/I Homes Inc,Consumer Cyclical,Residential Construction,1986-10-03,
MIR,MIR.US,Mirion Technologies Inc,Industrials,Specialty Industrial Machinery,2020-08-20,
MLKN,MLKN.US,MillerKnoll Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1990-03-26,
MMI,MMI.US,Marcus & Millichap Inc,Real Estate,Real Estate Services,2013-10-31,
MMSI,MMSI.US,Merit Medical Systems Inc,Healthcare,Medical Instruments & Supplies,1990-08-09,
MNRO,MNRO.US,Monro Muffler Brake Inc,Consumer Cyclical,Auto Parts,1991-07-29,
MOH,MOH.US,Molina Healthcare Inc,Healthcare,Healthcare Plans,2003-07-02,
MPT,MPT.US,"Medical Properties Trust, Inc.",Real Estate,REIT - Healthcare Facilities,2005-07-08,
MRCY,MRCY.US,Mercury Systems Inc,Industrials,Aerospace & Defense,1998-01-30,
MRTN,MRTN.US,Marten Transport Ltd,Industrials,Trucking,1986-09-25,
MSEX,MSEX.US,Middlesex Water Company,Utilities,Utilities - Regulated Water,1990-03-26,
MSGS,MSGS.US,Madison Square Garden Sports Corp,Communication Services,Entertainment,2015-10-01,
MTCH,MTCH.US,Match Group Inc,Communication Services,Internet Content & Information,2015-11-19,
MTH,MTH.US,Meritage Corporation,Consumer Cyclical,Residential Construction,1988-07-20,
MTRN,MTRN.US,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,1984-09-07,
MTUS,MTUS.US,"Metallus, Inc",Basic Materials,Steel,2014-06-19,
MTX,MTX.US,Minerals Technologies Inc,Basic Materials,Specialty Chemicals,1992-10-23,
MWA,MWA.US,Mueller Water Products,Industrials,Specialty Industrial Machinery,2006-05-26,
MXL,MXL.US,MaxLinear Inc,Technology,Semiconductors,2010-03-24,
MYRG,MYRG.US,MYR Group Inc,Industrials,Engineering & Construction,2008-08-13,
NABL,NABL.US,N-Able Inc,Technology,Information Technology Services,2021-07-20,
NE,NE.US,Noble Corporation plc,Energy,Oil & Gas Drilling,1990-03-26,
NEO,NEO.US,NeoGenomics Inc,Healthcare,Diagnostics & Research,1999-11-02,
NEOG,NEOG.US,Neogen Corporation,Healthcare,Medical Devices,1989-08-23,
NGVT,NGVT.US,Ingevity Corp,Basic Materials,Specialty Chemicals,2016-05-02,
NHC,NHC.US,National HealthCare Corporation,Healthcare,Medical Care Facilities,1987-01-20,
NOG,NOG.US,Northern Oil & Gas Inc,Energy,Oil & Gas E&P,2007-04-13,
NPK,NPK.US,National Presto Industries Inc,Industrials,Aerospace & Defense,1987-12-30,
